iter	Passed	Remaining
0	144	144677
1	145	72710
2	146	48695
3	147	36679
4	148	29475
5	148	24668
6	149	21238
7	150	18666
8	151	16663
9	152	15062
10	152	13753
11	153	12659
12	154	11735
13	155	10943
14	156	10264
15	157	9664
16	157	9133
17	158	8661
18	159	8237
19	160	7857
20	161	7514
21	162	7203
22	162	6916
23	163	6654
24	164	6412
25	165	6189
26	166	5982
27	166	5791
28	167	5613
29	168	5445
30	169	5291
31	170	5145
32	171	5011
33	171	4882
34	172	4761
35	173	4647
36	174	4539
37	175	4436
38	176	4339
39	176	4246
40	177	4157
41	178	4072
42	179	3992
43	180	3915
44	181	3841
45	181	3770
46	182	3702
47	183	3639
48	184	3577
49	185	3518
50	186	3461
51	186	3406
52	187	3353
53	188	3302
54	189	3253
55	190	3206
56	191	3160
57	191	3115
58	192	3073
59	193	3032
60	194	2991
61	195	2952
62	196	2915
63	196	2878
64	197	2844
65	198	2809
66	199	2776
67	199	2738
68	200	2706
69	201	2675
70	202	2644
71	202	2615
72	203	2586
73	204	2558
74	205	2531
75	205	2504
76	206	2478
77	207	2453
78	208	2429
79	209	2405
80	209	2381
81	210	2359
82	211	2338
83	212	2317
84	213	2294
85	213	2273
86	214	2251
87	215	2231
88	216	2212
89	217	2194
90	217	2176
91	218	2159
92	219	2142
93	220	2126
94	221	2110
95	222	2095
96	223	2079
97	224	2065
98	225	2051
99	226	2036
100	227	2021
101	227	2003
102	228	1988
103	229	1973
104	229	1959
105	230	1945
106	231	1931
107	232	1917
108	233	1905
109	233	1892
110	234	1879
111	235	1866
112	236	1853
113	236	1841
114	237	1830
115	238	1817
116	239	1806
117	240	1795
118	240	1783
119	241	1772
120	242	1761
121	243	1750
122	243	1736
123	244	1726
124	245	1715
125	245	1705
126	246	1695
127	247	1684
128	247	1674
129	248	1664
130	249	1655
131	250	1645
132	251	1636
133	251	1627
134	252	1618
135	253	1610
136	254	1601
137	254	1591
138	255	1583
139	256	1574
140	257	1566
141	257	1557
142	258	1549
143	259	1541
144	260	1533
145	260	1526
146	261	1518
147	262	1511
148	263	1503
149	264	1496
150	264	1488
151	265	1482
152	266	1475
153	267	1468
154	268	1461
155	268	1454
156	269	1447
157	270	1440
158	271	1433
159	271	1426
160	272	1420
161	273	1413
162	274	1407
163	274	1400
164	275	1394
165	276	1388
166	277	1382
167	277	1376
168	278	1370
169	279	1364
170	280	1359
171	281	1353
172	281	1347
173	282	1341
174	283	1336
175	284	1330
176	284	1325
177	285	1319
178	286	1313
179	287	1308
180	287	1301
181	288	1296
182	289	1290
183	289	1285
184	290	1280
185	291	1275
186	292	1270
187	292	1265
188	293	1261
189	294	1256
190	295	1251
191	296	1246
192	296	1241
193	297	1236
194	298	1231
195	299	1227
196	299	1222
197	300	1218
198	301	1213
199	302	1208
200	302	1204
201	303	1199
202	304	1195
203	305	1191
204	306	1187
205	306	1182
206	307	1179
207	309	1178
208	310	1174
209	311	1170
210	311	1166
211	312	1162
212	313	1158
213	314	1153
214	314	1149
215	315	1145
216	316	1141
217	317	1137
218	317	1133
219	318	1130
220	319	1127
221	320	1124
222	321	1121
223	322	1118
224	323	1114
225	324	1110
226	325	1107
227	326	1104
228	326	1100
229	327	1097
230	328	1094
231	329	1091
232	330	1087
233	331	1084
234	331	1080
235	332	1077
236	333	1073
237	334	1069
238	335	1067
239	335	1063
240	336	1060
241	337	1057
242	338	1053
243	338	1050
244	339	1046
245	340	1043
246	341	1040
247	341	1036
248	342	1033
249	343	1030
250	344	1027
251	344	1023
252	345	1020
253	346	1017
254	347	1014
255	347	1011
256	348	1008
257	349	1005
258	350	1002
259	350	998
260	351	996
261	352	993
262	353	989
263	354	986
264	354	984
265	355	981
266	356	978
267	357	975
268	357	972
269	358	969
270	359	966
271	360	963
272	360	960
273	361	957
274	362	955
275	363	952
276	364	950
277	364	947
278	365	944
279	366	942
280	367	939
281	367	936
282	368	933
283	369	931
284	370	928
285	370	925
286	371	923
287	372	920
288	373	917
289	373	915
290	374	912
291	375	910
292	376	907
293	377	905
294	377	903
295	378	900
296	379	898
297	380	895
298	380	893
299	381	890
300	382	888
301	383	885
302	383	883
303	384	880
304	385	878
305	386	875
306	386	873
307	387	870
308	388	868
309	389	866
310	389	863
311	390	861
312	391	859
313	392	856
314	392	854
315	393	852
316	394	849
317	395	847
318	395	845
319	396	843
320	397	840
321	398	838
322	398	836
323	399	833
324	400	831
325	401	829
326	401	827
327	402	825
328	403	822
329	404	820
330	405	818
331	405	816
332	406	814
333	407	812
334	408	810
335	408	808
336	410	806
337	410	804
338	411	802
339	412	800
340	413	798
341	413	796
342	414	794
343	415	792
344	416	790
345	416	788
346	417	786
347	418	784
348	419	781
349	419	779
350	420	777
351	421	775
352	422	773
353	422	771
354	423	769
355	424	767
356	425	765
357	425	763
358	426	761
359	427	759
360	428	758
361	428	756
362	429	754
363	430	752
364	431	750
365	432	748
366	432	746
367	433	745
368	434	743
369	435	741
370	436	740
371	437	738
372	438	736
373	438	734
374	439	732
375	440	731
376	441	729
377	442	727
378	442	725
379	443	723
380	444	722
381	445	720
382	446	719
383	447	717
384	448	715
385	449	714
386	449	712
387	450	710
388	451	708
389	452	707
390	452	705
391	453	703
392	454	701
393	455	700
394	455	698
395	456	696
396	457	694
397	458	693
398	459	691
399	459	689
400	460	688
401	461	686
402	462	684
403	463	683
404	464	681
405	464	680
406	465	678
407	466	676
408	467	675
409	467	673
410	468	671
411	469	669
412	470	668
413	470	666
414	471	664
415	472	663
416	473	661
417	474	660
418	474	658
419	475	656
420	476	655
421	477	653
422	477	651
423	478	650
424	479	648
425	480	647
426	480	645
427	481	643
428	482	642
429	483	640
430	483	638
431	484	637
432	485	635
433	486	634
434	487	632
435	488	631
436	488	629
437	489	628
438	490	626
439	491	625
440	491	623
441	492	622
442	493	620
443	494	618
444	495	617
445	495	615
446	496	614
447	497	612
448	498	611
449	498	609
450	499	608
451	500	606
452	501	605
453	502	603
454	502	602
455	503	600
456	504	599
457	505	597
458	505	596
459	506	594
460	507	593
461	508	591
462	509	590
463	509	588
464	510	587
465	511	586
466	512	584
467	512	583
468	513	581
469	514	580
470	515	578
471	516	577
472	516	575
473	517	574
474	518	573
475	519	571
476	520	570
477	520	568
478	521	567
479	522	566
480	523	564
481	524	563
482	524	561
483	525	560
484	526	559
485	527	557
486	528	556
487	528	554
488	529	553
489	530	552
490	531	550
491	532	549
492	532	547
493	533	546
494	534	545
495	535	543
496	535	542
497	536	540
498	537	539
499	538	538
500	538	536
501	539	535
502	540	534
503	541	532
504	542	531
505	542	529
506	543	528
507	544	527
508	545	526
509	546	524
510	546	523
511	547	521
512	548	520
513	549	519
514	550	518
515	550	516
516	551	515
517	552	513
518	553	512
519	553	511
520	554	509
521	555	508
522	556	507
523	557	505
524	557	504
525	558	503
526	559	502
527	560	500
528	560	499
529	561	498
530	562	496
531	563	495
532	564	494
533	564	492
534	565	491
535	566	490
536	567	488
537	567	487
538	568	486
539	569	485
540	570	483
541	570	482
542	571	481
543	572	480
544	573	478
545	574	477
546	574	476
547	575	474
548	576	473
549	577	472
550	578	471
551	578	469
552	579	468
553	580	467
554	581	466
555	582	464
556	582	463
557	583	462
558	584	460
559	585	459
560	585	458
561	586	457
562	587	456
563	588	454
564	589	453
565	589	452
566	590	451
567	591	449
568	592	448
569	592	447
570	593	445
571	594	444
572	595	443
573	595	442
574	596	440
575	597	439
576	598	438
577	598	437
578	599	436
579	600	435
580	601	433
581	602	432
582	603	431
583	604	430
584	604	429
585	605	427
586	606	426
587	607	425
588	608	424
589	608	423
590	609	421
591	610	420
592	611	419
593	611	418
594	612	416
595	613	416
596	614	414
597	615	413
598	616	412
599	617	411
600	617	410
601	618	409
602	619	407
603	620	406
604	621	405
605	621	404
606	622	403
607	623	401
608	624	400
609	624	399
610	625	398
611	626	397
612	627	396
613	628	394
614	629	393
615	630	392
616	630	391
617	631	390
618	632	389
619	633	388
620	634	387
621	634	385
622	635	384
623	636	383
624	637	382
625	638	381
626	638	380
627	639	378
628	640	377
629	641	376
630	642	375
631	642	374
632	643	373
633	644	372
634	645	370
635	646	369
636	646	368
637	647	367
638	648	366
639	648	365
640	649	363
641	650	362
642	651	361
643	651	360
644	652	359
645	653	358
646	654	356
647	655	355
648	655	354
649	656	353
650	657	352
651	658	351
652	658	350
653	659	349
654	660	347
655	661	346
656	662	345
657	662	344
658	663	343
659	664	342
660	665	341
661	665	339
662	666	338
663	667	337
664	668	336
665	669	335
666	670	334
667	671	333
668	672	332
669	672	331
670	673	330
671	674	329
672	675	328
673	676	327
674	677	326
675	678	324
